1	64083
2	49420
3	48180
4	47914
5	45761.0
6	45761.0
7	45761.0
8	45761.0
9	45761.0
10	45580.0
11	45580.0
12	45580.0
13	45580.0
14	45580.0
15	45580.0
16	45580.0
17	45580.0
18	45580.0
19	45580.0
20	44917.0
21	44917.0
22	44917.0
23	44917.0
24	44917.0
25	44917.0
26	44917.0
27	44917.0
28	44917.0
29	44917.0
30	44892.0
31	44892.0
32	44892.0
33	44892.0
34	44892.0
35	44892.0
36	44892.0
37	44892.0
38	44892.0
39	44892.0
40	44892.0
41	44892.0
42	44892.0
43	44892.0
44	44892.0
45	44892.0
46	44892.0
47	44892.0
48	44892.0
49	44892.0
50	44892.0
51	44892.0
52	44892.0
53	44892.0
54	44892.0
55	44892.0
